index,GUID,Name,HallOfFameStatus,HallofFameClass,YearDrafted,TO_YEAR,Years_Played,HOF_Elgibility_Year,Pick,Team,College,GP,MIN,PTS,FGM,FGA,FG%,3P_Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,idPlayer,numberRound,BIRTHDATE,POSITION,AGE_ROOKIE_SEASON,Draft_Decade,numBallotsBeforeInduct,ML_Prediction,ConfusionMatrix
20,BERNARDJAMES2012,Bernard James,Not Inducted,,2012,2014,3,2019,33,CLE,Florida State University,46,9.9,2.8,1.2,2.2,51.5,0,0,0,0.5,0.9,61,1.1,1.7,2.8,0.1,0.3,0.8,0.4,5.1,203108,2,1985-02-07 00:00:00,Center,27.69,2010s,,0,True Negative
967,GORDANGIRICEK2002,Gordan Giricek,Not Inducted,,2002,2007,6,2012,200,,,76,28.3,12.3,4.6,10.6,43.6,1.1,3.3,34.1,2,2.4,82,0.5,2.7,3.1,1.8,0.7,0.1,1.9,9.7,,10,,,,,,0,True Negative
21,ORLANDOJOHNSON2012,Orlando Johnson,Not Inducted,,2012,2015,4,2020,36,SAC,"University of California, Santa Barbara",51,12.1,4,1.4,3.5,40,0.7,1.8,38.3,0.5,0.6,71.9,0.4,1.8,2.2,0.9,0.2,0.2,0.6,4.6,203111,2,1989-03-11 00:00:00,Guard,23.6,2010s,,0,True Negative
22,DORONLAMB2012,Doron Lamb,Not Inducted,,2012,2013,2,2018,42,MIL,University of Kentucky,47,12.3,3.3,1.3,3.5,36.8,0.3,0.8,37.8,0.4,0.7,58.8,0.2,0.8,1,0.7,0.3,0,0.6,2.2,203117,2,1991-11-06 00:00:00,Guard,20.94,2010s,,0,True Negative
23,KIMENGLISH2012,Kim English,Not Inducted,,2012,2012,1,2017,44,DET,University of Missouri,41,9.9,2.9,1,2.7,37.5,0.3,1.2,28,0.5,0.7,72.4,0.2,0.7,0.9,0.6,0.4,0.1,0.5,2.5,203119,2,1988-09-24 00:00:00,Guard,24.06,2010s,,0,True Negative
24,JANVESELY2011,Jan Vesely,Not Inducted,,2011,2013,3,2018,6,WAS,,57,18.9,4.7,2.1,3.8,53.7,0,0,0,0.6,1.1,53.2,1.8,2.6,4.4,0.8,0.7,0.6,1.1,7.8,202686,1,1990-04-24 00:00:00,Forward,21.48,2010s,,0,True Negative
25,CHRISSINGLETON2011,Chris Singleton,Not Inducted,,2011,2013,3,2018,18,WAS,Florida State University,66,21.7,4.6,1.8,4.7,37.2,0.7,1.9,34.6,0.5,0.7,68.2,0.7,2.9,3.5,0.7,1.1,0.5,0.6,6.7,202698,1,1989-11-21 00:00:00,Forward,21.9,2010s,,0,True Negative
26,NOLANSMITH2011,Nolan Smith,Not Inducted,,2011,2012,2,2017,21,POR,Duke University,44,12.3,3.8,1.5,4.1,37.2,0.3,1,28.9,0.5,0.6,71.4,0.4,0.9,1.3,1.4,0.4,0.1,0.9,3.3,202701,1,1988-07-25 00:00:00,Guard,23.22,2010s,,0,True Negative
27,JORDANHAMILTON2011,Jordan Hamilton,Not Inducted,,2011,2015,5,2020,26,DAL,University of Texas at Austin,26,9.9,4.4,1.8,4.3,43.2,0.7,1.8,36.2,0.1,0.2,40,0.4,2,2.4,0.8,0.1,0.1,0.6,4.7,202706,1,1990-10-06 00:00:00,Guard,21.02,2010s,,0,True Negative
28,JAJUANJOHNSON2011,JaJuan Johnson,Not Inducted,,2011,2011,1,2016,27,NJN,Purdue University,36,8.3,3.2,1.5,3.4,44.6,0,0,0,0.2,0.3,66.7,0.6,1.1,1.6,0.2,0.1,0.4,0.4,3.1,202707,1,1989-02-08 00:00:00,Forward,22.68,2010s,,0,True Negative
29,NORRISCOLE2011,Norris Cole,Not Inducted,,2011,2016,6,2021,28,CHI,Cleveland State University,65,19.4,6.8,2.7,6.9,39.3,0.3,1.2,27.6,1,1.3,77.6,0.3,1.1,1.4,2,0.7,0,1.6,4.8,202708,1,1988-10-13 00:00:00,Guard,23,2010s,,0,True Negative
30,JORDANWILLIAMS2011,Jordan Williams,Not Inducted,,2011,2011,1,2016,36,NJN,University of Maryland,43,14.8,4.6,1.8,3.5,50.7,0,0,0,1,1.5,65.2,1.5,2.1,3.6,0.3,0.5,0.3,0.5,6.5,202716,2,1990-10-11 00:00:00,Center,21.01,2010s,,0,True Negative
31,JEREMYTYLER2011,Jeremy Tyler,Not Inducted,,2011,2013,3,2018,39,CHA,,42,13.5,4.9,2.1,5,42.1,0,0,0,0.7,1.2,55.8,1.3,2,3.3,0.4,0.4,0.5,0.9,5.2,202719,2,1991-06-21 00:00:00,Forward,20.32,2010s,,0,True Negative
32,MALCOLMLEE2011,Malcolm Lee,Not Inducted,,2011,2014,4,2019,43,CHI,"University of California, Los Angeles",19,12.8,3.3,1.2,3.1,39,0.1,0.5,20,0.7,0.9,82.4,0.5,0.9,1.4,1.6,0.4,0.2,0.9,3.9,202723,2,1990-05-22 00:00:00,Guard,21.4,2010s,,0,True Negative
33,CHARLESJENKINS2011,Charles Jenkins,Not Inducted,,2011,2012,2,2017,44,GSW,Hofstra University,51,17.5,5.8,2.5,5.7,44.7,0.1,0.4,15,0.7,0.8,87.2,0.2,1.2,1.3,3.3,0.7,0.1,1.2,6.8,202724,2,1989-02-28 00:00:00,Guard,22.63,2010s,,0,True Negative
34,JOSHHARRELLSON2011,Josh Harrellson,Not Inducted,,2011,2013,3,2018,45,NOH,University of Kentucky,37,14.6,4.4,1.7,4,42.3,0.5,1.6,33.9,0.4,0.7,61.5,1.3,2.6,3.9,0.3,0.6,0.5,0.5,6.6,202725,2,1989-02-12 00:00:00,Forward,22.67,2010s,,0,True Negative
35,ANDREWGOUDELOCK2011,Andrew Goudelock,Not Inducted,,2011,2015,5,2020,46,LAL,College of Charleston,40,10.5,4.4,1.7,4.4,39.1,0.7,1.9,37.3,0.3,0.3,91.7,0.1,0.7,0.8,0.5,0.1,0,0.5,2.6,202726,2,1988-12-07 00:00:00,Guard,22.85,2010s,,0,True Negative
36,LAVOYALLEN2011,Lavoy Allen,Not Inducted,,2011,2016,6,2021,50,PHI,Temple University,41,15.2,4.1,1.9,4.1,47.3,0,0,0,0.3,0.3,78.6,1.1,3,4.2,0.8,0.3,0.4,0.5,7.2,202730,2,1989-02-04 00:00:00,Forward,22.69,2010s,,0,True Negative
37,XAVIERHENRY2010,Xavier Henry,Not Inducted,,2010,2014,5,2019,12,MEM,University of Kansas,38,13.9,4.3,1.7,4.2,40.6,0.1,0.4,11.8,0.9,1.4,63.5,0.2,0.7,1,0.5,0.3,0.1,0.3,2.8,202333,1,1991-03-15 00:00:00,Forward,19.59,2010s,,0,True Negative
38,LARRYSANDERS2010,Larry Sanders,Not Inducted,,2010,2016,7,2021,15,MIL,Virginia Commonwealth University,60,14.5,4.3,1.9,4.5,43.3,0,0,0,0.5,0.8,56,1,2,3,0.3,0.4,1.2,0.6,5.6,202336,1,1988-11-21 00:00:00,Forward,21.9,2010s,,0,True Negative
39,KEVINSERAPHIN2010,Kevin Seraphin,Not Inducted,,2010,2016,7,2021,17,CHI,,58,10.9,2.7,1.1,2.5,44.9,0,0,0,0.4,0.5,71,1.4,1.2,2.6,0.2,0.3,0.5,0.7,3.9,202338,1,1989-12-07 00:00:00,Forward,20.85,2010s,,0,True Negative
40,GREIVISVASQUEZ2010,Greivis Vasquez,Not Inducted,,2010,2016,7,2021,28,MEM,University of Maryland,70,12.3,3.6,1.4,3.3,40.8,0.4,1.2,29.1,0.5,0.6,77.3,0.2,0.9,1,2.2,0.3,0.1,1,4,202349,1,1987-01-16 00:00:00,Guard,23.75,2010s,,0,True Negative
41,LAZARHAYWARD2010,Lazar Hayward,Not Inducted,,2010,2012,3,2017,30,WAS,Marquette University,42,10,3.8,1.3,3.7,35.7,0.4,1.4,28.3,0.8,1,78.6,0.5,1.1,1.7,0.7,0.3,0.2,0.5,3.6,202351,1,1986-11-26 00:00:00,Forward,23.89,2010s,,0,True Negative
42,ARMONJOHNSON2010,Armon Johnson,Not Inducted,,2010,2011,2,2016,34,POR,"University of Nevada, Reno",38,7.3,2.9,1.2,2.7,45.5,0.1,0.3,41.7,0.3,0.6,59.1,0.3,0.7,0.9,1.2,0.1,0,1,2.5,202356,2,1989-02-23 00:00:00,Guard,21.64,2010s,,0,True Negative
772,RICHARDCOFFEY1990,Richard Coffey,Not Inducted,,1990,1990,1,1995,200,,,52,6.2,1.3,0.5,1.4,37.3,0,0,0,0.2,0.4,54.5,0.8,0.7,1.5,0.1,0.1,0.1,0.1,1.9,,10,,,,,,0,True Negative
43,LANDRYFIELDS2010,Landry Fields,Not Inducted,,2010,2014,5,2019,39,NYK,Stanford University,82,31,9.7,3.6,7.3,49.7,1,2.7,39.3,1.4,1.8,76.9,1.3,5.1,6.4,1.9,1,0.2,1.3,13.7,202361,2,1988-06-27 00:00:00,Guard,22.3,2010s,,0,True Negative
44,LUKEHARANGODY2010,Luke Harangody,Not Inducted,,2010,2011,2,2016,52,BOS,University of Notre Dame,49,13.1,3.9,1.6,4.2,38.3,0.3,1.3,24.2,0.4,0.5,73.1,0.8,2.1,2.9,0.6,0.3,0.3,0.3,5.1,202376,2,1988-01-02 00:00:00,Forward,22.78,2010s,,0,True Negative
45,DERRICKCARACTER2010,Derrick Caracter,Not Inducted,,2010,2010,1,2015,58,LAL,University of Texas at El Paso,41,5.2,2,0.8,1.6,48.5,0,0,0,0.4,0.6,73.9,0.5,0.6,1,0.2,0.1,0.2,0.5,2.1,202382,2,1988-05-04 00:00:00,Forward,22.45,2010s,,0,True Negative
46,HASHEEMTHABEET2009,Hasheem Thabeet,Not Inducted,,2009,2013,5,2018,2,MEM,University of Connecticut,68,13,3.1,1.1,1.9,58.8,0,0,0,0.8,1.4,58.1,1.3,2.3,3.6,0.2,0.2,1.3,0.6,6.3,201934,1,1987-02-16 00:00:00,Center,22.66,2000s,,0,True Negative
47,JONNYFLYNN2009,Jonny Flynn,Not Inducted,,2009,2011,3,2016,6,MIN,Syracuse University,81,28.9,13.5,4.9,11.8,41.7,1,2.7,35.8,2.8,3.3,82.6,0.3,2.1,2.4,4.4,1,0,2.9,11,201938,1,1989-02-06 00:00:00,Guard,20.69,2000s,,0,True Negative
48,JORDANHILL2009,Jordan Hill,Not Inducted,,2009,2016,8,2021,8,NYK,University of Arizona,47,13.3,5.2,2.1,4.3,49.3,0,0,0,1,1.4,67.6,1.6,2.1,3.7,0.4,0.3,0.5,0.6,6.8,201941,1,1987-07-27 00:00:00,Forward,22.22,2000s,,0,True Negative
49,TERRENCEWILLIAMS2009,Terrence Williams,Not Inducted,,2009,2012,4,2017,11,NJN,University of Louisville,78,22.6,8.4,3.3,8.3,40.1,0.4,1.3,31,1.3,1.8,71.5,0.6,3.9,4.5,2.9,0.6,0.1,1.6,9.3,201944,1,1987-06-28 00:00:00,Guard,22.3,2000s,,0,True Negative
50,GERALDHENDERSON2009,Gerald Henderson,Not Inducted,,2009,2016,8,2021,12,CHA,Duke University,43,8.3,2.6,0.9,2.4,35.6,0.1,0.4,21.1,0.8,1.1,74.5,0.3,0.9,1.3,0.3,0.2,0.2,0.3,2.5,201945,1,1987-12-09 00:00:00,Guard,21.85,2000s,,0,True Negative
51,EARLCLARK2009,Earl Clark,Not Inducted,,2009,2014,6,2019,14,PHO,University of Louisville,51,7.5,2.7,1.1,3,37.1,0,0.1,40,0.5,0.7,72.2,0.4,0.9,1.2,0.4,0.1,0.3,0.5,2.3,201947,1,1988-01-17 00:00:00,Forward,21.74,2000s,,0,True Negative
52,AUSTINDAYE2009,Austin Daye,Not Inducted,,2009,2014,6,2019,15,DET,Gonzaga University,69,13.3,5.1,2,4.3,46.4,0.4,1.4,30.5,0.7,0.8,82.1,0.5,2,2.5,0.5,0.4,0.4,0.7,5.7,201948,1,1988-06-05 00:00:00,Forward,21.36,2000s,,0,True Negative
53,ERICMAYNOR2009,Eric Maynor,Not Inducted,,2009,2013,5,2018,20,UTA,Virginia Commonwealth University,81,15.7,4.7,1.9,4.5,41.8,0.3,0.9,31,0.6,0.9,72.2,0.3,1.3,1.6,3.3,0.5,0.1,1.1,6.3,201953,1,1987-06-11 00:00:00,Guard,22.35,2000s,,0,True Negative
54,RODRIGUEBEAUBOIS2009,Rodrigue Beaubois,Not Inducted,,2009,2012,4,2017,25,OKC,,56,12.5,7.1,2.8,5.3,51.8,0.8,2,40.9,0.8,0.9,80.8,0.2,1.2,1.4,1.3,0.5,0.2,1,6.8,201958,1,1988-02-24 00:00:00,Guard,21.64,2000s,,0,True Negative
55,TONEYDOUGLAS2009,Toney Douglas,Not Inducted,,2009,2016,8,2021,29,LAL,Florida State University,56,19.4,8.6,3.2,7,45.8,1.2,3.1,38.9,1,1.2,80.9,0.7,1.2,1.9,2,0.8,0.1,1,8.3,201962,1,1986-03-16 00:00:00,Guard,23.58,2000s,,0,True Negative
56,ADAMHARRINGTON2002,Adam Harrington,Not Inducted,,2002,2002,1,2007,200,,,19,5.8,1.6,0.6,1.9,29.7,0.3,0.7,35.7,0.2,0.2,75,0.1,0.4,0.4,0.6,0.1,0.1,0.1,1.3,,10,,,,,,0,True Negative
57,DAJUANSUMMERS2009,DaJuan Summers,Not Inducted,,2009,2012,4,2017,35,DET,Georgetown University,44,9.2,3,1,3,35.4,0.3,1,35.7,0.6,0.9,71.1,0.3,0.7,1,0.4,0.2,0.2,0.4,2.3,201969,2,1988-01-24 00:00:00,Forward,21.73,2000s,,0,True Negative
58,SAMYOUNG2009,Sam Young,Not Inducted,,2009,2012,4,2017,36,MEM,University of Pittsburgh,80,16.5,7.4,2.8,6.2,45.1,0.1,0.7,19.6,1.7,2.2,77.7,1,1.6,2.5,0.7,0.4,0.3,1.2,6.2,201970,2,1985-06-01 00:00:00,Forward,24.37,2000s,,0,True Negative
59,DEJUANBLAIR2009,DeJuan Blair,Not Inducted,,2009,2015,7,2020,37,SAS,University of Pittsburgh,82,18.2,7.8,3.4,6,55.6,0,0,0,1.1,2,54.7,2.4,4,6.4,0.8,0.6,0.5,1.4,11.1,201971,2,1989-04-22 00:00:00,Center,20.48,2000s,,0,True Negative
60,JONBROCKMAN2009,Jon Brockman,Not Inducted,,2009,2011,3,2016,38,POR,University of Washington,52,12.6,2.8,1.1,2,53.4,0,0,0,0.7,1.2,59.7,2,2.1,4.1,0.4,0.3,0.1,0.4,5.9,201972,2,1987-03-20 00:00:00,Forward,22.57,2000s,,0,True Negative
61,DERRICKBROWN2009,Derrick Brown,Not Inducted,,2009,2011,3,2016,40,CHA,Xavier University,57,9.4,3.3,1.2,2.6,46.3,0,0.1,28.6,0.8,1.3,66.7,0.5,0.8,1.4,0.3,0.4,0.2,0.3,3.4,201974,2,1987-09-08 00:00:00,Forward,22.1,2000s,,0,True Negative
62,MARCUSTHORNTON2009,Marcus Thornton,Not Inducted,,2009,2016,8,2021,43,MIA,Louisiana State University,73,25.6,14.5,5.5,12.1,45.1,1.6,4.3,37.4,2,2.4,81.4,1,1.9,2.9,1.6,0.8,0.1,1,11.7,201977,2,1987-06-05 00:00:00,Guard,22.36,2000s,,0,True Negative
968,LEENAILON2000,Lee Nailon,Not Inducted,,2000,2005,6,2010,200,,,42,11.2,3.9,1.6,3.2,48.5,0,0,0,0.8,1,74.4,0.7,1.5,2.2,0.6,0.2,0.1,0.6,4.4,,10,,,,,,0,True Negative
63,CHASEBUDINGER2009,Chase Budinger,Not Inducted,,2009,2015,7,2020,44,DET,University of Arizona,74,20.1,8.9,3.4,7.6,44.1,1.2,3.4,36.9,0.9,1.2,77,0.5,2.5,3,1.2,0.5,0.1,0.7,8.5,201978,2,1988-05-22 00:00:00,Forward,21.4,2000s,,0,True Negative
64,AJPRICE2009,A.J. Price,Not Inducted,,2009,2014,6,2019,52,IND,University of Connecticut,56,15.4,7.3,2.6,6.3,41,1.1,3.1,34.5,1.1,1.3,80,0.2,1.4,1.6,1.9,0.6,0.1,1.1,6.4,201985,2,1986-10-07 00:00:00,Guard,23.02,2000s,,0,True Negative
65,LESTERHUDSON2009,Lester Hudson,Not Inducted,,2009,2014,6,2019,58,BOS,University of Tennessee at Martin,25,5.2,2.3,0.8,2.1,39.6,0.2,0.6,31.3,0.4,0.5,84.6,0.3,0.4,0.7,0.5,0.3,0.1,0.6,2.1,201991,2,1984-08-07 00:00:00,Guard,25.19,2000s,,0,True Negative
66,OJMAYO2008,O.J. Mayo,Not Inducted,,2008,2015,8,2020,3,MIN,University of Southern California,82,38,18.5,6.9,15.6,43.8,1.8,4.6,38.4,3,3.4,87.9,0.7,3.1,3.8,3.2,1.1,0.2,2.8,14.7,201564,1,1987-11-05 00:00:00,Guard,20.94,2000s,,1,False Positive
67,JOEALEXANDER2008,Joe Alexander,Not Inducted,,2008,2009,2,2014,8,MIL,West Virginia University,59,12.1,4.7,1.7,4.2,41.6,0.3,0.8,34.8,1,1.4,69.9,0.7,1.2,1.9,0.7,0.3,0.5,0.9,4.4,201570,1,1986-12-26 00:00:00,Forward,21.8,2000s,,0,True Negative
68,JASONTHOMPSON2008,Jason Thompson,Not Inducted,,2008,2015,8,2020,12,SAC,Rider University,82,28.1,11.1,4.3,8.7,49.7,0,0.1,0,2.4,3.5,69.2,2.9,4.5,7.4,1.1,0.6,0.7,1.8,13.6,201574,1,1986-07-21 00:00:00,Forward,22.24,2000s,,0,True Negative
69,BRANDONRUSH2008,Brandon Rush,Not Inducted,,2008,2016,9,2021,13,POR,University of Kansas,75,24,8.1,3.2,7.7,42.3,1,2.8,37.3,0.6,0.9,69.7,0.5,2.7,3.1,0.9,0.5,0.5,1,7.4,201575,1,1985-07-07 00:00:00,Guard,23.27,2000s,,0,True Negative
70,ANTHONYRANDOLPH2008,Anthony Randolph,Not Inducted,,2008,2013,6,2018,14,GSW,Louisiana State University,63,17.9,7.9,3.2,6.8,46.2,0,0.1,0,1.6,2.2,71.6,2,3.7,5.8,0.8,0.7,1.2,1.3,10.7,201576,1,1989-07-15 00:00:00,"",19.25,2000s,,0,True Negative
71,ROYHIBBERT2008,Roy Hibbert,Not Inducted,,2008,2016,9,2021,17,TOR,Georgetown University,70,14.4,7.1,2.8,6,47.1,0,0,0,1.4,2.1,66.7,1.6,1.8,3.5,0.7,0.3,1.1,0.8,7.9,201579,1,1986-12-11 00:00:00,Center,21.85,2000s,,0,True Negative
72,JJHICKSON2008,JJ Hickson,Not Inducted,,2008,2015,8,2020,19,CLE,North Carolina State University,62,11.4,4,1.6,3.1,51.5,0,0,0,0.7,1.1,67.2,0.8,1.8,2.7,0.1,0.2,0.5,0.7,4.9,201581,1,1988-09-04 00:00:00,Center,20.11,2000s,,0,True Negative
73,DONTEGREENE2008,Donte Greene,Not Inducted,,2008,2012,5,2017,28,MEM,Syracuse University,55,13.2,3.8,1.4,4.3,32.6,0.5,1.8,26,0.5,0.6,85.3,0.3,1.2,1.6,0.5,0.3,0.3,0.7,2.8,201590,1,1988-02-21 00:00:00,Forward,20.65,2000s,,0,True Negative
74,KYLEWEAVER2008,Kyle Weaver,Not Inducted,,2008,2010,3,2015,38,CHA,Washington State University,56,20.8,5.3,2,4.4,45.9,0.6,1.7,34.4,0.7,1,70.7,0.6,1.8,2.3,1.8,0.8,0.5,1.2,6.8,201602,2,1986-02-18 00:00:00,Guard,22.66,2000s,,0,True Negative
75,CHRISDOUGLASROBERTS2008,Chris Douglas-Roberts,Not Inducted,,2008,2014,7,2019,40,NJN,University of Memphis,44,13.3,4.9,1.8,4,46,0.1,0.3,25,1.2,1.4,82.3,0.3,0.8,1.1,1.2,0.3,0.2,0.7,4.5,201604,2,1987-01-08 00:00:00,Guard,21.77,2000s,,0,True Negative
76,SEANSINGLETARY2008,Sean Singletary,Not Inducted,,2008,2008,1,2013,42,SAC,University of Virginia,37,8.2,2.4,0.8,2.3,36.5,0.3,0.7,40,0.5,0.6,85.7,0.3,0.7,0.9,0.8,0.3,0,0.6,2.3,201606,2,1985-09-06 00:00:00,Guard,23.11,2000s,,0,True Negative
77,DARNELLJACKSON2008,Darnell Jackson,Not Inducted,,2008,2010,3,2015,52,MIA,University of Kansas,51,8.4,1.9,0.7,1.7,43,0,0,0,0.5,0.7,68.6,0.6,1.1,1.7,0.2,0.2,0.1,0.3,2.6,201616,2,1985-11-07 00:00:00,Forward,22.94,2000s,,0,True Negative
78,MIKETAYLOR2008,Mike Taylor,Not Inducted,,2008,2008,1,2013,55,POR,Iowa State University,51,15.1,5.7,2.2,5.2,41.2,0.3,0.8,32.5,1.1,1.6,69.1,0.4,1.3,1.7,2.1,0.7,0,1.4,5.2,201446,2,1986-01-21 00:00:00,Guard,22.73,2000s,,0,True Negative
